## Date:  August 8, 1998
##
## The Carnegie Mellon Pronouncing Dictionary [cmudict.0.6] is Copyright 1998
## by Carnegie Mellon University. Use of this dictionary, for any research or
## commercial purpose, is completely unrestricted.  If you make use of or
## redistribute this material, we would appreciate acknowlegement of its
## origin.
##
## cmudict.0.6 is the fifth release of cmudict, first released as cmudict.0.1
## in September of 1993.  There was no generally available public release 
## of version 0.5.
##
## See the README in this directory before you use this dictionary.
##
## Thanks to Bill Huggins at BBN; Bill Fisher at NIST; Alex Hauptman,
## Alex Rudnicky, Jack Mostow, Roni Rosenfeld, Richard Stern,
## Matthew Siegler, Kevin Lenzo, Maxine Eskenazi, Mosur Ravishankar,
## Eric Thayer, Kristie Seymore, and Raj Reddy at CMU; Lin Chase at
## LIMSI; Doug Paul at MIT Lincoln Labs; Ben Serridge at MIT SLS; Murray 
## Spiegel at Bellcore; Tony Robinson at Cambridge UK; David Bowness of 
## CAE Electronics Ltd. and CRIM; Stephen Hocking; Jerry Quinn at BNR 
## Canada, and Marshal Midden for bringing to our attention problems and 
## inadequacies with the first releases. Most special thanks to Bob Weide 
## for all his work on prior versions of the dictionary.
##
## We welcome input from users and will continue to acknowledge such input
## in subsequent releases. If I failed to acknowledge your input in this
## release, please remind me and I will update these comments. If I failed to
## fix things that you brought to my attention, please remind me and have
## patience. If I actually fixed things that you brought to my attention and
## you appreciate it, I wouldn't mind a pat on the back.
##
## This version differs from previous releases of cmudict most significantly
## in the addition of new words from the common ARPA tasks for 1996 and 1997.
##
## There are undoubtedly still errors and inconsistencies in this dictionary
## so keep your eyes open for problems and mail them to me.
##
## We hope this dictionary is an improvement over cmudict.0.4.
## 
## email: cmudict@cs.cmu.edu
## web:   http://www.speech.cs.cmu.edu/cgi-bin/cmudict
## ftp:   ftp://ftp.cs.cmu.edu/project/speech/dict/
##
## Thank you for your continued interest in the CMU Pronouncing 
## Dictionary.  Further addictions and improvements are planned
## for forthcoming releases.
##
!exclamation-point  ɛk - sklə - ˈmeɪ - ʃən - pɔɪnt
"close-quote  ˈkloʊz - ˈkwoʊt
"double-quote  ˈdʌ - bəl - ˈkwoʊt
"end-of-quote  ˈɛn - dəv - ˈkwoʊt
"end-quote  ˈɛnd - ˈkwoʊt
"in-quotes  ˈɪn - ˈkwoʊts
"quote  ˈkwoʊt
"unquote  ˈʌn - ˈkwoʊt
#sharp-sign  ˈʃɑrp - ˈsaɪn
%percent  pɚ - ˈsɛnt
&ampersand  ˈæm - pɚ - sænd
'cause  kəz
'course  ˈkɔrs
'em  əm
'end-inner-quote  ˈɛn - ˈdɪ - nɚ - ˈkwoʊt
'end-quote  ˈɛnd - ˈkwoʊt
'inner-quote  ˈɪ - nɚ - ˈkwoʊt
'm  əm
'n  ən
'quote  ˈkwoʊt
's  ˈɛs
'single-quote  ˈsɪŋ - gəl - ˈkwoʊt
'til  ˈtɪl
'tis  ˈtɪz
'twas  ˈtwʌz
(begin-parens  bɪ - ˈgɪn - pɚ - ˈɛnz
(in-parentheses  ˈɪn - pɚ - ˈɛn - θə - siz
(left-paren  ˈlɛft - pɚ - ˈɛn
(open-parentheses  ˈoʊ - pən - pɚ - ˈɛn - θə - siz
(paren  pɚ - ˈɛn
(parens  pɚ - ˈɛnz
(parentheses  pɚ - ˈɛn - θə - siz
)close-paren  ˈkloʊz - pɚ - ˈɛn
)close-parentheses  ˈkloʊz - pɚ - ˈɛn - θə - siz
)end-paren  ˈɛnd - pɚ - ˈɛn
)end-parens  ˈɛnd - pɚ - ˈɛnz
)end-parentheses  ˈɛnd - pɚ - ˈɛn - θə - siz
)end-the-paren  ˈɛnd - ðə - pɚ - ˈɛn
)paren  pɚ - ˈɛn
)parens  pɚ - ˈɛnz
)right-paren  ˈraɪt - pɚ - ˈɛn
)right-paren(2)  ˈraɪt - ˈpɛ - rən
)un-parentheses  ˈʌn - pɚ - ˈɛn - θə - ˈsiz
,comma  ˈkɑ - mə
-dash  ˈdæʃ
-hyphen  ˈhaɪ - fən
...ellipsis  ɪ - ˈlɪp - sɪs
.decimal  ˈdɛ - sə - məl
.dot  ˈdɑt
.full-stop  ˈfʊl - ˈstɑp
